"","county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"298","fayette county","IA",72.07,52.9,60.4,7.6,"non-metro"
"299","lampasas county","TX",326.33,69.2,55.7,16.2,"metro"
"300","kay county","OK",180.5,89.8,77.8,15.9,"non-metro"
"301","gasconade county","MO",72.17,39.7,71.2,8.2,"non-metro"
"302","luce county","MI",177.5,89.2,111.5,9.8,"non-metro"
"303","payne county","OK",159.5,94.6,87.9,12.7,"non-metro"
"304","boone county","IA",128.75,71.4,56.6,6.2,"non-metro"
"305","nassau county","FL",266.6,170.3,103.2,13.3,"metro"
"306","kennebec county","ME",315.54,127.1,83.9,8.5,"non-metro"
"307","kenosha county","WI",11.45,147.4,53.4,8.7,"metro"
"308","madison county","NY",29.2,77.6,53,5.3,"metro"
"309","providence county","RI",136.08,323.4,48.4,9.6,"metro"
"310","humboldt county","NV",181.5,51.9,68.2,16.6,"non-metro"
"311","holmes county","MS",188.67,473.1,61,19.2,"non-metro"
"312","lorain county","OH",29.13,159.8,59.6,6.9,"metro"
"313","beadle county","SD",182.12,34.8,58.5,8.7,"non-metro"
"314","monroe county","GA",59.33,186.8,65.6,12.8,"metro"
"315","blount county","AL",127.12,99.8,48.9,11.2,"metro"
"316","seminole county","GA",193.5,292,150.1,18.5,"non-metro"
"317","hyde county","NC",53.4,-1,58.3,18.1,"non-metro"
"318","uinta county","WY",82.5,30.8,100.2,15.7,"non-metro"
"319","silver bow county","MT",90.17,71.6,87.4,13,"non-metro"
"320","bremer county","IA",86.71,38.3,43.2,3.4,"metro"
"321","salem county","NJ",14.1,272.6,60.6,8.9,"metro"
"322","wilkinson county","GA",95.4,225,82.3,10.7,"non-metro"
"323","nelson county","KY",29.78,-1,85.2,8.3,"non-metro"
"324","prince william county","VA",27.44,227.6,32.2,12.5,"metro"
"325","mesa county","CO",16.72,107.9,72.1,12.7,"metro"
"326","juniata county","PA",93.3,29.1,50.3,13.5,"non-metro"
"327","accomack county","VA",103,337,50.8,18,"non-metro"
"328","wayne county","OH",47.27,76,47.8,13,"non-metro"
"329","st. tammany parish","LA",34.8,208.2,92,11.6,"metro"
"330","wyoming county","WV",35.59,32.3,113.6,11.2,"non-metro"
"331","randolph county","GA",141,505.4,123.5,19.9,"non-metro"
"332","finney county","KS",210,-1,67.2,13.7,"non-metro"
"333","fulton county","KY",130.5,-1,157.7,11.1,"non-metro"
"334","richmond county","NY",10.77,514.6,39.3,6.6,"metro"
"335","orleans parish","LA",3.16,1432.3,59.8,14.2,"metro"
"336","effingham county","GA",191,134.7,72.3,11.7,"metro"
"337","martin county","IN",32.67,82,88.2,11.1,"non-metro"
"338","jones county","NC",23.5,-1,36.6,16.2,"metro"
"339","barber county","KS",253.12,-1,3,10.6,"non-metro"
"340","jefferson county","AR",166.8,477.1,103.8,10.5,"metro"
"341","decatur county","GA",200.2,666.4,111.8,19.3,"non-metro"
"342","woods county","OK",265,90.4,24.9,12,"non-metro"
"343","troup county","GA",62,205.7,94.2,13.9,"non-metro"
"344","alexander county","NC",14.67,-1,20,11.5,"metro"
"345","kodiak island borough","AK",150,-1,28.9,22.7,"non-metro"
"346","dallam county","TX",106.33,143.9,62.4,24.9,"non-metro"
"347","jasper county","IA",81.18,90.8,60.2,6.2,"non-metro"
"348","okmulgee county","OK",108.25,114.2,89.6,17.2,"metro"
"349","conecuh county","AL",199.2,310.4,84.9,19.1,"non-metro"
"350","leon county","TX",289.62,180.5,40,18.2,"non-metro"
"351","lincoln county","ME",302.92,76.6,37.8,11.4,"non-metro"
"352","gonzales county","TX",386.5,101.5,48.3,22.6,"non-metro"
"353","washington county","IA",22.75,71.8,41,8.6,"metro"
"354","burke county","NC",14.5,-1,125.3,13.8,"metro"
"355","livingston parish","LA",29.44,192.3,93.8,13.5,"metro"
"356","pike county","PA",63.64,132.1,40.2,8.4,"metro"
"357","logan county","AR",57.78,65.2,37.9,10.1,"non-metro"
"358","snohomish county","WA",12.79,154.8,60.9,9.3,"metro"
"359","nye county","NV",113.2,159.3,119.2,14.1,"non-metro"
"360","henry county","IA",44,65.7,65.3,5.5,"non-metro"
"361","kiowa county","KS",271.67,-1,75.5,8.9,"non-metro"
"362","butte county","CA",27.83,124.8,106.7,10.7,"metro"
"363","mcminn county","TN",68.83,95.9,133.1,11.6,"non-metro"
"364","monroe county","WV",46.11,250.6,33.4,10.7,"non-metro"
"365","osceola county","MI",72,71.8,63.2,12.4,"non-metro"
"366","wilcox county","AL",204.33,275,52.6,15.2,"non-metro"
"367","fairfield county","CT",31.26,325.2,37.2,10.1,"metro"
"368","union county","NC",35.88,-1,60.5,11.1,"metro"
"369","muskingum county","OH",46.5,90.3,85,8.8,"non-metro"
"370","dodge county","NE",205.5,-1,89,11.7,"non-metro"
"371","greene county","TN",28.86,82.7,107.9,12.1,"non-metro"
"372","nez perce county","ID",78.5,44.2,110.3,12.3,"metro"
"373","pleasants county","WV",15,214.7,100.7,6.9,"non-metro"
"374","benton county","TN",73.75,101.3,119,13.4,"non-metro"
"375","moore county","TX",124.75,107.6,51.2,19.5,"non-metro"
"376","kootenai county","ID",35.67,62.5,85,13.3,"metro"
"377","steuben county","IN",38.83,51,74,11.4,"non-metro"
"378","baker county","FL",270.75,467.6,105.4,12.5,"metro"
"379","fulton county","IN",51.2,59.8,83.6,12.2,"non-metro"
"380","valencia county","NM",13.2,122.3,70.7,12.2,"metro"
